id, x, y, z, val, fx, fy 
EC1_T01, 76.9051997 , 8.5450590 , 0, Toilet, 130, 60 
EC1_101, 76.90520641, 8.54513557, 0, Instrumentation & Measurements Lab, 163, 60
EC1_102, 76.90529122, 8.54520261, 0, Kinetic Circuits Lab, 211, 60
EC1_J07, 76.9053846, 8.5451774, 0, _junction_top, 252, 60
EC1_103, 76.90537227, 8.54525767, 0, Power Electronics Research Lab, 265, 60
EC1_J06, 76.9054157, 8.5452013, 0, _junction, 273, 60  
EC1_105, 76.90550928, 8.54517844, 0, Faculty Room, 273, 100
EC1_J05, 76.9054825, 8.5451032, 0, _junction, 273, 115 
EC1_109, 76.90555998, 8.54510518, 0, Communication Lab, 273, 135
EC1_110, 76.90561068, 8.54503100, 0 ,Equipment Store I, 273, 185 
EC1_J04, 76.9055721, 8.5449782, 0, _junction, 273, 200  
EC1_111, 76.90564763, 8.54499385, 0, Component Store, 276, 207
EC1_112, 76.90564007, 8.54496709, 0, Self Maintenance Lab, 267, 217, 
EC1_113, 76.90562674, 8.54490061, 0, Biomedical Engineering Lab, 237, 247 
EC1_J03, 76.9055660, 8.5448456, 0, _junction_center, 223, 261 
EC1_114, 76.90561213, 8.54476298, 0, PG Seminar Hall, 212, 274
EC1_115, 76.90560248, 8.54468910, 0 ,PG Lecture Hall, 180, 305 
EC1_116, 76.90560219, 8.54463088, 0, Technical Staff Room I, 168, 315
EC1_J02, 76.9055464, 8.5446943, 0, _junction, 165, 311, 
EC1_117, 76.90555566 ,8.54460800, 0 ,Equipment Store II, 127, 311
EC1_118, 76.905483,   8.54455938, 0, Dept. Library, 90, 311
EC1_J01, 76.9054140, 8.5445944, 0, _junction_bottom, 55, 311  
EC1_119, 76.90536632, 8.54462095, 0, Faculty Room, 55, 298 
EC1_120, 76.90530152, 8.54465823, 0, Electronics Workshop, 55, 265
EC1_121, 76.90526653, 8.54471663, 0, PG Lecture Hall, 55, 216
EC1_104, 76.90543007, 8.54530636, 0, Power Electronics Lab, 310, 60
EC1_106, 76.90544671, 8.54510389, 0, Faculty Room, 261, 115
EC1_107, 76.90536215, 8.54508952, 0, Advanced Process Control Lab, 210, 115
EC1_108, 76.90530064, 8.54504176, 0, Process Contol Lab, 165, 115
EC1_S0N, 76.90535948, 8.54520097, 0, stairs, 252, 40  
EC1_S0C, 76.9055333 , 8.5448472,  0, stairs, 215, 252 
EC1_T11, 76.9051997 , 8.5450590 , 1, Toilet, 131, 61 
EC1_201, 76.90519896, 8.54513191, 1, Control System Lab, 158, 61
EC1_202, 76.90525953, 8.54517689, 1, Lecture Hall-S1S2(AEI), 195, 61
EC1_203, 76.90531265, 8.54521637, 1, Computer Vision Lab, 223, 61
EC1_J17, 76.9053846, 8.5451774, 1, _junction_top, 251, 61  
EC1_204, 76.90538626, 8.54527054, 1, Lecture Hall-S1S2(EC), 274, 61
EC1_209, 76.90555164, 8.54510869, 1, Seminar Hall, 274, 100
EC1_J15, 76.9054825, 8.5451032, 1, _junction, 274, 116 
EC1_210, 76.90562825, 8.54501728, 1, Faculty Room, 274, 185
EC1_J14, 76.9055721, 8.5449782, 1, _junction, 274, 202  
EC1_211, 76.9056366,  8.54494234, 1, Documentation Lab, 277, 207
EC1_212, 76.90562503, 8.54488567, 1, Fiber Optics Lab, 236, 248
EC1_J13, 76.9055660, 8.5448456, 1, _junction_center, 223, 260 
EC1_214, 76.90561137, 8.54474701, 1, VLSI Lab, 211, 275
EC1_215, 76.90561275, 8.54468466, 1, Conference Room, 180, 305
EC1_J12, 76.9055464, 8.5446943, 1, _junction, 169, 312 
EC1_216, 76.90553727, 8.54459685, 1, PG Seminar Hall II, 141, 312
EC1_217, 76.90548742, 8.54455666, 1, Advandced Communication Lab, 114, 312
EC1_J11, 76.9054140, 8.5445944, 1, _junction_bottom, 55, 310  
EC1_219, 76.90534437, 8.54461072, 1, DSP Lab (PG), 55, 298
EC1_220, 76.90529278, 8.54467612, 1, Faculty Room, 55, 253
EC1_221, 76.90525403, 8.54471393, 1, Technical Staff Room II, 55, 215
EC1_200, 76.90560746, 8.54464144, 1, HOD Room, 157, 326
EC1_205, 76.90544214, 8.54530538, 1, Microwave Lab, 309, 61
EC1_206, 76.9054175,  8.54511119, 1, Faculty Room, 261, 116
EC1_207, 76.90537596, 8.54506565, 1, Faculty Room, 213, 116
EC1_208, 76.90529786, 18.5450434, 1, Embedded System Lab, 180, 116
EC1_213, 76.90562636, 8.54481265, 1, Network Operation Centre, 225, 263
EC1_218, 76.9054189,  8.54450757, 1, DSP Lab (UG), 39, 312
EC1_S1N, 76.90535948, 8.54520097, 1, stairs, 251, 40  
EC1_S1C, 76.9055333 , 8.5448472,  1, stairs, 214, 253 